Index;Site;Indiv;Altitude;Temp_mean;Temp_onset_bud;Temp_onset_ant;Temp_Peak_bud;Temp_Peak_ant;Dur_ant_days;Dur_ant_month;Bud_max;Ant_max;Immat_max;Mat_max;Sum_Prod_Bud;Sum_Prod_Flower;Sum_Prod_Ant;Sum_Prod_Immat;Sum_Prod_Mat;Number_census;Time_observ;Mean_open_flowers;Total_open_flowers;N_visited_flowers;Number_visits;Total_interactions;Int_pollin
323;Low;335;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;10;NA;NA;0;0;0;0
324;Low;336;1061;17.83976221;17.83;17.58;17.57760764;19.10068056;46;1.5;318;510;168;66;588;1062;1062;516;108;23;230;12;36;0;0;0;0
325;Low;337;1061;16.32152067;18.25;16.9;16.90139931;17.57760764;61;2;1261;1729;1495;364;1560;3198;3198;6513;715;8;80;5;5;0;0;0;0
326;Low;338;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;10;NA;NA;0;0;0;0
327;Low;339;1061;16.32152067;18.25;16.9;17.57760764;17.57760764;76;2.5;204;276;168;12;552;624;624;696;36;22;220;7;21;4;1;0.03;1
328;Low;340;1064;16.32152067;18.25;16.9;16.90139931;17.57760764;45;1.5;480;440;570;140;570;870;870;2100;340;NA;NA;NA;NA;NA;NA;NA;NA
332;Low;344;1064;19.70072002;19.1;19.1;17.41164583;23.08428125;77;2.5;81;37;41;14;200;76;76;62;16;NA;NA;NA;NA;NA;NA;NA;NA
334;Low;346;1063;17.83976221;16.9;17.58;19.10068056;17.41164583;62;2;2040;1440;1960;940;5020;3400;3400;4880;2180;35;350;30.25;121;0;0;0;0
NA;Low;ld346;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;10;1;1;1;1;0.03;1
335;Low;347;1063;17.83976221;18.25;16.9;17.57760764;19.10068056;77;3;1080;984;1072;176;1832;1848;1848;3376;400;24;240;70.25;281;0;0;0;0
341;Low;352;1068;16.32152067;18.25;16.9;16.90139931;17.57760764;61;2.5;360;256;232;56;912;520;520;752;96;12;120;6;12;0;0;0;0
344;Low;355;1068;16.32152067;18.25;16.9;16.90139931;17.57760764;76;2.5;1162;1624;98;28;2590;2968;2968;308;28;23;230;14.33;43;0;0;0;0
346;Low;357;1067;16.32152067;18.25;16.9;16.90139931;17.57760764;61;2;1029;1134;1176;336;1890;1953;1953;4809;378;18;180;19;38;4;1;0.03;1
347;Low;358;1067;16.32152067;18.25;16.9;17.57760764;17.57760764;92;3;2520;6321;4242;378;6573;9954;9954;16191;567;24;240;86.67;260;16;2;0.07;2
349;Low;360;1067;17.83976221;17.58;19.1;19.10068056;17.41164583;47;1.5;693;861;756;21;1302;1701;1701;1575;21;8;80;35;35;1;1;0.03;1
